0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:12 -0300] "POST /TCC_AGORA/ControlLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:12 -0300] "GET /TCC_AGORA/index.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:14 -0300] "GET /TCC_AGORA/ControlCompra?action=Tabela HTTP/1.1" 500 3278
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/index.html HTTP/1.1" 200 9664
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/img/carousel/3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/img/carousel/2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/img/929455.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/img/img_index/1A.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/img/img_index/4.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:23 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/img/carousel/3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/img/carousel/2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/img/929455.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/img/img_index/1A.png HTTP/1.1" 404 805
